Location,Property Type,Size (sqm),Number of Bedrooms,Number of Bathrooms,Number of Floors,Year Built,Parking Space,Furnished,Proximity to City Center (km),Proximity to Schools (km),Price (RWF)
Gicumbi,Villa,126,1,2,2,1989,1,1,6.132301383925406,1.8659934902694426,4018186
Gicumbi,Villa,71,1,2,2,2017,0,0,3.162018548495473,1.6109682112201724,3091595
Rwamagana,Villa,136,3,3,3,2023,1,1,1.927936688174845,1.168715069641048,4747753
Muhanga,House,192,5,3,1,2018,1,0,6.50480558271299,2.8395613646334548,2949091
Huye,Bungalow,212,2,3,2,2017,0,1,0.4562325524018558,1.8416586337580243,3154660
Nyamagabe,House,127,5,2,3,1995,1,0,8.023240563661371,3.39442093839058,5665601
Rwamagana,Villa,159,5,3,2,1982,1,1,0.2808243739370333,1.807929181935075,7176783
Rubavu,Bungalow,181,2,1,3,1999,0,1,2.6963187310979975,2.05609240346347,1076831
Rubavu,House,130,5,2,2,1985,0,0,6.404463269639958,2.049042090933554,4714093
Nyamagabe,Apartment,222,2,3,1,1995,0,0,6.382671487684106,1.6574468696805218,4030662
Muhanga,House,120,5,2,3,1988,1,0,3.901790841703195,4.047119021375056,3044132
Huye,House,197,1,2,3,1980,1,1,3.070867274973182,3.859407731751033,6368483
Nyanza,Villa,130,3,3,2,2003,1,1,1.635585331975915,2.390273491552438,4738775
Huye,House,134,3,3,3,2008,1,1,7.4507670923056875,1.5032005423526498,4724077
Kigali,Villa,195,5,3,3,1984,1,1,5.99388216400075,3.7791272407045495,4670328
Huye,Bungalow,122,2,3,1,1980,1,0,4.384928434228406,1.6138672036733042,3297265
Nyanza,Villa,104,1,3,1,1981,0,0,5.597851416560042,3.120486062183575,1518433
Huye,Bungalow,151,2,3,3,2016,1,1,9.551284748423171,4.324861574544364,223496
Huye,Apartment,153,5,3,2,1991,1,1,10.30867968344996,1.8153701375639293,6554408
Rubavu,Bungalow,141,4,3,2,2005,0,0,2.717122233683778,0.4033228195184628,5108354
Rubavu,Bungalow,194,2,2,2,1991,1,1,2.408950025001567,2.1775192224707767,3688207
Gicumbi,Apartment,178,4,2,3,2016,1,0,5.772939083797881,4.114915906071209,2083179
Rwamagana,Bungalow,98,5,1,3,1985,1,0,8.11120499564416,0.07643924551471115,4203829
Nyanza,Bungalow,84,3,3,1,2018,0,0,4.64343126621067,2.5814045976577678,248136
Rubavu,Bungalow,125,1,3,2,1986,1,1,1.1242693195726359,1.7382163221773448,3775244
Musanze,Bungalow,130,1,2,1,2017,1,1,1.58060924777888,1.8529494407896414,2989533
Rwamagana,Apartment,98,3,2,2,1982,0,0,2.9681425363757166,3.5847973823710397,3454232
Nyamagabe,Villa,135,3,2,3,2020,1,0,5.257873160536931,1.2201773629498374,4518159
Muhanga,House,147,5,1,3,2021,1,1,4.648387300010955,2.15980033999444,4469688
Rwamagana,House,167,4,2,2,1986,1,0,6.511207914753921,1.1587794175520174,4666071
Rubavu,Apartment,80,1,3,1,1997,1,1,4.536082473243932,2.4299854984760163,6008088
Muhanga,Bungalow,134,5,2,1,2014,1,1,2.1641911381522476,0.43293370577268453,3254486
Gicumbi,House,162,5,1,2,1987,1,1,6.020799547098193,0.4858424572432545,3727242
Nyanza,Bungalow,191,3,3,1,1985,0,1,2.621633598820828,2.0111238609928948,4442078
Gicumbi,Apartment,196,1,2,2,2021,1,0,5.727937384762545,0.0,6633662
Gicumbi,Bungalow,145,5,3,3,2023,1,0,6.4957219193028095,2.911583923772101,3743144
Gicumbi,Villa,180,1,3,1,1988,0,0,5.221839815703868,1.5142051084545625,4512884
Rusizi,House,106,4,1,1,2002,1,1,9.648488816928012,2.263048924996308,5727841
Rwamagana,Bungalow,266,5,1,3,1997,0,0,6.885090010795485,3.0452890808721156,5048844
Rusizi,Apartment,56,4,2,1,1997,0,0,7.0741267951233615,1.4122793267091502,3827501
Muhanga,Bungalow,193,3,3,3,2018,1,0,0.9300879958883801,0.8685204868049785,2939391
Nyanza,Villa,147,1,1,2,2000,1,0,4.386288682515723,1.397414294244248,968048
Rusizi,Bungalow,163,1,2,1,2012,1,1,4.478153975893644,1.5955420733170405,1343934
Rusizi,Bungalow,72,1,2,1,2010,1,0,4.197671336353523,3.8809847516030995,2892731
Rwamagana,House,226,5,3,2,2016,0,1,8.291666293194107,1.389405339504141,9059530
Huye,Apartment,143,5,3,3,2017,1,0,5.97079375616032,0.9825023982813075,2479277
Rusizi,Apartment,78,3,3,1,1992,1,1,3.7965921965087603,1.8167412218762227,4127900
Kigali,Apartment,240,1,1,2,1990,1,1,6.827893331499344,2.2627520835378854,4362976
Musanze,Bungalow,193,4,2,3,2008,1,0,4.125035574919435,1.8083420160932118,11254376
Huye,Villa,114,4,3,2,2014,0,1,4.166872650876312,3.0794643041887224,1242616
Musanze,House,107,4,3,1,2004,1,0,1.2629206259672818,3.1819469327893923,3383983
Kigali,House,125,4,3,1,2006,0,1,6.415251755914945,3.016768768220512,2813035
Rusizi,Villa,110,1,1,2,2012,1,0,4.415969741900704,3.452844272173927,199611
Nyamagabe,Bungalow,205,2,3,3,1993,1,0,2.6951988266764597,0.6651478626611509,6891427
Muhanga,Bungalow,208,2,2,2,2008,1,0,4.253363323043116,2.9586851092932274,2190476
Musanze,House,136,1,3,3,1997,0,0,1.728708212637133,0.7034624161023189,3040605
Musanze,Bungalow,156,4,3,1,1983,1,1,4.268092661445965,2.6863837170251403,4523549
Rubavu,House,160,5,2,1,1981,1,1,3.010568186229074,0.7969759274496728,4228891
Muhanga,Apartment,81,2,1,2,2022,1,1,6.03429569766922,1.6191422725398503,3882055
Rubavu,House,170,2,2,2,2015,0,1,5.840457002327995,2.748120176323772,7119144
Nyamagabe,Villa,164,4,2,2,2016,1,0,7.259953523719597,2.431530997077373,4586893
Gicumbi,Bungalow,50,1,3,2,2021,1,0,3.0643406122446697,1.902670690147393,1981330
Kigali,House,154,2,1,3,2005,1,0,1.8456860127190708,1.9904433294584671,6763685
Musanze,House,215,1,3,2,1987,1,0,1.657146648494014,3.949733487370735,4199733
Nyamagabe,Bungalow,152,3,2,2,2011,0,1,5.913563256836719,2.557472139909554,4751054
Rubavu,Villa,127,2,1,1,2022,0,1,4.914500670799219,2.8210718382320374,6771407
Huye,Apartment,168,5,3,3,2004,1,0,5.7600775284760655,2.0338399337401043,6062795
Rwamagana,House,119,2,1,2,2012,1,0,4.388110916957891,1.3671391326623858,-1067728
Musanze,Apartment,204,2,1,3,2015,1,1,1.914290977858204,3.0631199230900457,2540281
Musanze,Villa,224,2,3,3,1983,0,0,2.606911126047261,0.7634499934517096,2376473
Rubavu,Apartment,116,1,1,2,2009,1,0,6.222759553973748,1.8592863352158737,4873252
Musanze,Apartment,206,1,3,3,1980,1,0,6.280432328101395,2.5918585905739175,2393306
Musanze,Villa,125,2,3,2,2017,0,0,6.464782025950036,2.8154159113932593,1340168
Nyamagabe,Apartment,208,5,3,2,2000,1,0,3.358439833088795,1.4510498602898916,6006704
Nyamagabe,House,152,2,3,1,1983,0,0,5.67339276571503,1.634139830574671,3601810
Rusizi,Villa,196,3,1,1,1995,0,1,1.478820335489663,0.7177126974128725,4317774
Nyanza,Apartment,119,2,2,3,2018,1,1,8.385856813581352,2.124374409353651,-1157034
Rusizi,Bungalow,134,3,2,2,2020,1,1,2.90118437678928,2.4043853616595667,5086250
Huye,Villa,174,4,1,3,2018,0,1,7.528413902218881,1.6411137910829816,852513
Musanze,Apartment,66,2,1,3,2021,1,0,7.8079541253255496,0.9923124737866795,2483276
Muhanga,House,173,3,1,2,1981,0,1,4.742911398519254,0.876147100489941,1905384
Rusizi,Bungalow,90,4,3,1,1984,1,0,5.702027145872753,1.1539122625593428,3187631
Rubavu,Villa,63,3,2,1,2001,1,1,2.993339441552648,1.0539268577636083,2173697
Rwamagana,Villa,80,1,2,3,1995,1,0,1.16025801023412,2.025153471968459,1414184
Gicumbi,Bungalow,169,4,2,2,2018,1,0,4.820930272733918,0.34492612802309,4235286
Rubavu,Villa,61,1,2,2,1981,0,1,5.8866060355516785,0.9859743079348593,4510160
Rusizi,Bungalow,155,3,3,3,2002,1,1,6.106498088475111,0.0,1788857
Rwamagana,Villa,88,5,2,2,1982,0,1,6.526107137165026,0.7449152134531374,5151192
Musanze,Villa,172,2,3,3,1980,0,1,5.689128209399114,0.8344803189324472,6624388
Rubavu,Villa,120,1,3,2,2002,1,0,6.311431320796195,0.88308496937921,5360081
Gicumbi,House,236,3,1,3,1993,1,1,7.2002485039353665,1.201012597371205,8786530
Rusizi,House,119,4,1,1,1994,0,0,4.639511802702999,3.432245019162168,454288
Kigali,Villa,207,3,3,3,1988,1,1,7.337527905916244,1.3398156184601655,5079174
Rubavu,Villa,150,2,3,1,2010,1,1,4.083877239560371,1.287699791182757,4783710
Nyanza,Apartment,211,5,1,3,2000,1,1,1.1821080999409066,2.8668800912879093,8523314
Huye,Villa,102,1,3,3,1994,0,1,3.880325223175382,1.9915464716763016,6254138
Nyanza,Apartment,123,4,1,2,1997,0,0,4.335790960972281,0.0,4618606
Kigali,Villa,131,5,3,1,1998,1,1,5.112356473825707,1.4962322272111472,2921734
Nyamagabe,Villa,154,2,2,2,2021,1,0,4.131705459173019,2.020308316518255,5197572
Rusizi,Apartment,142,2,1,3,2014,1,1,4.204141911213011,1.5174566289561147,1895577
Rusizi,Villa,154,5,3,2,2001,1,1,6.800350318140753,2.8559196461373855,8795548
Nyanza,Villa,113,1,1,3,2019,1,0,3.9656678782153856,1.7017867778126536,1254175
Rusizi,House,143,2,2,3,1982,1,0,7.161337678343477,3.550910818541032,3791147
Gicumbi,Bungalow,152,5,1,3,2005,1,0,6.775188568541302,1.7051139022616817,6074102
Huye,House,183,2,3,1,1990,0,0,5.207502658114438,2.6816488898876614,891761
Rubavu,Villa,122,5,1,1,2017,1,1,1.166583216997147,2.378079611399934,5330714
Musanze,Apartment,55,1,2,2,1993,1,0,5.980793459379068,1.785518840920561,-351440
Musanze,Bungalow,152,5,3,3,1990,0,0,5.0022500240531,3.670104008805925,8134291
Huye,Villa,184,4,1,2,2016,1,1,5.495922562534323,0.9670253645946123,2370551
Nyamagabe,House,143,5,3,2,2007,1,0,8.918486177781489,3.313258623392814,6865896
Muhanga,Apartment,254,5,2,1,2020,1,0,0.677657912867601,2.813025228862964,2885009
Nyanza,Villa,100,5,1,3,1992,0,1,1.838454073285011,2.2484552673273424,5444797
Rusizi,House,118,1,2,1,1988,1,1,4.479860753021552,2.307245765093107,1992388
Nyamagabe,Villa,158,2,1,2,2016,0,0,4.347870863508717,0.3268309231794073,4370542
Musanze,Villa,69,1,2,3,2005,1,0,2.613087806512033,3.562424819760854,2146977
Musanze,Bungalow,216,1,2,1,1996,0,0,0.0,2.9962656127071243,2765865
Rubavu,Bungalow,213,3,1,2,1987,0,1,6.900748233406144,2.47466930938568,1992828
Muhanga,Villa,104,3,1,2,1981,0,0,6.7555236843912025,0.7942565606513645,5896885
Gicumbi,Bungalow,257,5,3,3,1981,0,1,3.778067764573037,1.3843050007112447,6886474
Nyamagabe,Apartment,157,5,1,3,2005,1,0,5.634361612827987,2.3791346781470946,6362216
Rubavu,Bungalow,104,3,3,2,2013,1,1,7.4926773447111685,3.398685012719895,5722000
Muhanga,Villa,131,1,3,1,1982,1,0,5.180893606560392,0.0,1985089
Rubavu,House,50,3,3,1,2010,1,1,3.0956515140775727,2.964616162458329,2744383
Nyamagabe,Apartment,126,3,3,1,2014,1,1,3.285597452078267,2.3975967636364466,3699500
Nyamagabe,Apartment,141,3,3,3,2009,0,0,1.6870960560586128,2.8707850238000714,2212047
Rwamagana,Apartment,156,5,1,2,2017,0,0,4.402826919692445,3.370272994993695,5701080
Rusizi,Bungalow,101,5,2,2,1994,1,1,2.4308163991342697,0.46366482294874567,3045144
Musanze,Bungalow,170,2,2,3,2015,1,1,7.631483477595155,3.1631298865123925,4304659
Kigali,House,114,5,1,1,2007,1,0,5.603619416124845,2.2469026656772635,192952
Rusizi,Villa,184,2,2,3,1990,1,1,7.709823154513259,1.0915876218517588,5403855
Rusizi,Villa,143,5,1,2,1989,0,1,3.7267793665942,1.2432556677979774,5857701
Huye,House,162,3,2,3,2002,1,1,5.499653942491063,2.37267764224878,1527001
Nyamagabe,House,157,2,3,3,1995,0,0,6.2954405372146915,1.6693418282833759,1750646
Kigali,Bungalow,113,3,1,1,1994,0,0,6.131411460403394,3.0413056456092584,1113915
Musanze,Apartment,195,1,2,3,1999,1,1,5.390967928499402,1.9202161639471391,7174945
Rwamagana,House,139,5,2,2,2001,0,1,5.532835888136028,2.0767284951012726,1128571
Rubavu,Apartment,183,5,2,2,1986,1,0,4.9894220387835295,1.5761602771854495,2726684
Muhanga,Apartment,123,2,1,2,1997,1,1,2.9890206420440735,0.17989229215203362,4597066
Rwamagana,Bungalow,160,5,2,2,2005,0,0,2.5508832369547876,0.6543653142414927,8090158
Rubavu,Apartment,117,4,2,3,1993,0,1,2.6555879744014534,2.1145342301771093,4172098
Nyamagabe,Bungalow,118,5,2,3,2020,1,1,4.456564522177979,1.088285688603487,3231563
Rusizi,Apartment,121,2,3,3,2001,1,0,5.54251533679133,1.3955664148809355,4190919
Gicumbi,Bungalow,130,4,3,2,1983,1,1,4.875557558812417,0.9865826602132237,4100292
Nyanza,Bungalow,184,4,2,1,1990,1,0,5.175862578412881,2.1228461478970075,9292929
Musanze,Apartment,205,3,1,3,2011,1,0,7.386728566649199,1.559694705706824,3950504
Rusizi,Apartment,271,4,2,1,2017,1,0,6.4225367198512755,2.6559758918927114,4681595
Gicumbi,Villa,203,1,1,2,2015,0,0,3.1091065001648235,3.1394832916432853,3434038
Gicumbi,Bungalow,223,3,2,3,1995,1,1,4.274629047909493,3.0923670026932975,3485348
Nyamagabe,House,242,2,3,3,2021,1,0,5.213713486084546,1.970897924688756,1075745
Musanze,Villa,174,5,2,3,2017,0,1,6.951485184624457,2.2153012808054635,214273
Huye,Villa,145,5,2,3,2015,1,0,3.5396634085390897,1.0651436968192782,4820988
Musanze,Villa,141,4,2,3,1989,1,1,1.285166987283331,2.4520556857846367,5549937
Gicumbi,Villa,122,2,1,1,1988,1,0,3.190619111058414,1.725046653749195,4879603
Rusizi,Bungalow,178,3,2,3,2013,1,0,4.695047711746738,2.1449413434331897,2769370
Rubavu,Villa,121,3,1,2,2014,0,0,8.35249737498263,1.3828646584157005,-1008904
Rusizi,Villa,163,2,1,3,2001,1,0,4.332122215932788,2.544736931093044,609086
Rubavu,Villa,159,5,2,3,2010,0,1,5.446907592625946,1.1209699550684737,4272444
Muhanga,Bungalow,116,4,1,3,2013,1,1,4.605714767644271,1.7621314849172642,7157634
Rubavu,Bungalow,163,2,3,2,2008,0,0,5.2305589655257485,4.140576222450478,3410187
Rusizi,Apartment,148,3,3,3,1995,1,0,6.643116038491469,2.9520202133494804,5820418
Gicumbi,House,144,1,1,2,1993,1,1,5.320759779740864,0.544544426449783,4690120
Kigali,Bungalow,153,4,2,2,1993,1,0,5.034677174236281,2.9858915080137574,2025462
Rusizi,Bungalow,193,4,2,1,2023,0,1,3.4798838296768393,1.7469109047164215,2285119
Nyamagabe,Apartment,140,3,3,3,2002,1,1,2.4432827418131007,2.748574243434967,6292870
Kigali,House,116,3,3,1,1981,1,1,2.222145890644688,0.9302096080638607,7619355
Nyamagabe,Bungalow,142,2,1,2,1993,1,0,3.5665453625070915,3.6463366454849515,1999304
Huye,Villa,85,3,1,2,2010,1,1,5.876368894825585,1.7545762637310953,6648982
Musanze,Bungalow,111,2,1,3,2006,1,1,9.199799773533059,0.9667888944572185,4393072
Musanze,Villa,179,2,1,1,2013,1,0,7.408548499150157,1.0369504462771504,2568323
Huye,Apartment,221,4,3,2,1986,1,0,7.76180393824996,2.6169594315176523,6775083
Gicumbi,Apartment,146,2,2,2,1991,0,0,3.5863803359334288,2.520115769028904,2185335
Kigali,Villa,118,4,3,2,1999,1,0,7.788853731503027,2.967981699575532,5089529
Nyamagabe,Bungalow,99,3,3,3,1988,1,1,4.106808131485526,1.67085740910822,5240565
Gicumbi,House,123,3,2,3,1988,1,1,8.737652655870393,0.8592604079507993,3642485
Nyanza,House,176,1,2,3,2013,0,1,9.683822993467565,1.4858133222010719,2384756
Musanze,Bungalow,164,4,2,3,1994,0,1,2.438472838005407,3.0548914347246123,1020780
Rusizi,Villa,153,3,2,3,2001,0,1,5.606766234259656,1.5698293547740578,4381131
Rwamagana,Apartment,190,4,1,3,2021,1,1,4.110917224358007,2.3441154905536647,3988780
Nyamagabe,Bungalow,112,2,2,3,1997,1,0,7.500503316972015,0.5809096583828339,3259487
Musanze,Apartment,54,5,3,1,2003,1,0,5.264850728593259,0.0,4179976
Rubavu,House,188,2,1,1,2001,0,1,5.995279074034318,1.2304937185385916,3691125
Nyamagabe,Apartment,228,3,2,2,2004,1,0,7.8259403622920285,1.020323567666909,8103712
Nyanza,Apartment,59,2,1,1,1982,0,1,6.468030914845131,2.0308174182318663,1507040
Huye,Apartment,151,5,1,3,2011,1,1,3.4892449181381915,2.949837634691792,5348185
Nyamagabe,House,92,4,1,3,2000,1,0,3.6917024326487193,0.14100337615800185,9244439
Rubavu,House,147,4,3,3,2009,1,0,4.5653663892579495,2.1678293303591762,4258859
Rubavu,Apartment,50,2,3,3,1999,0,1,6.312097862545823,4.365402996365962,277469
Gicumbi,House,110,2,2,1,2017,0,0,1.8546140165181764,1.4558330234438452,1431207
Nyanza,Apartment,112,1,3,3,1991,1,0,4.471721339277239,2.071285990662469,5274780
Musanze,Villa,283,2,1,2,2003,1,0,7.566975635256034,3.7114083741470285,6247229
Rubavu,Bungalow,50,5,1,2,2020,0,1,4.291196378613646,2.0982568035690696,3075059
Muhanga,Villa,139,5,1,2,1993,1,1,5.94372409599707,3.2446537032828435,6454263
Kigali,Villa,169,2,1,3,1981,1,0,2.5788299815726443,2.301695942126713,4665281
Rubavu,Bungalow,91,3,3,3,2016,1,1,6.31128234082853,1.5861537107730033,6240986
Nyamagabe,Villa,250,4,2,2,2004,0,1,7.4262086089438775,1.532929039235395,4245764
Musanze,Apartment,144,3,3,2,1984,1,0,3.225473676965073,3.128917198171857,5744177
Kigali,Bungalow,188,3,2,2,1988,0,0,5.23836069320125,2.414033163677576,4045890
Kigali,House,135,2,2,2,1988,1,1,2.66200567384294,1.934058549813657,5745989
Muhanga,Villa,113,3,2,1,1984,1,0,0.9779949965074168,2.5257265076670423,4436554
Rusizi,Villa,146,5,2,2,2012,0,0,3.0447041279320013,2.3251763049519876,5254179
Kigali,Bungalow,184,3,2,3,2008,0,1,8.527174452527037,3.12678545256425,3623027
Rwamagana,Villa,149,3,3,1,1982,1,1,2.486969645252624,0.0,7850492
Rusizi,House,195,1,2,1,1998,1,0,2.804614946274475,3.163442122828677,3873281
Rubavu,Villa,212,3,3,3,2019,1,0,7.031513647033933,3.276550209953198,3245125
Rusizi,Apartment,50,2,2,2,2002,0,0,4.5407620210858965,0.9202503327238527,4530019
Gicumbi,House,183,5,1,3,2017,1,1,4.8138589060008075,3.94530498287195,5283754
Rwamagana,Villa,84,4,3,1,1983,1,0,2.6708994949805525,1.8380361695730163,3995047
Rwamagana,House,194,3,1,3,1990,0,1,5.857657582486544,0.0,2829329
Gicumbi,Villa,219,4,1,2,2014,0,0,8.267890458103967,1.4913021197152818,3968197
Gicumbi,Bungalow,151,5,1,1,2020,1,1,3.869684356831139,1.4904522019232354,5779390
Rwamagana,Villa,161,1,1,3,1984,0,1,0.0,2.178508309781161,1829826
Musanze,House,146,5,1,2,2013,1,1,5.011706291024741,0.884180704415497,2091695
Rusizi,Apartment,199,4,2,3,1995,1,0,4.134797262369915,1.5723164149914033,7223648
Kigali,Bungalow,92,5,2,3,2012,1,0,5.326607475884502,1.7114687240316053,2059128
Nyamagabe,Bungalow,133,4,2,1,1993,1,0,3.7617973770639592,3.5234607474939033,7864578
Huye,Villa,141,5,1,2,2011,1,0,4.051699497688313,2.9605826142265963,5066642
Huye,House,285,2,2,2,2022,1,1,6.75137711058489,0.0,6006536
Muhanga,Apartment,168,2,2,3,1991,0,1,3.341074923704114,1.5929260820520452,4115070
Huye,Bungalow,66,5,3,2,1981,1,0,5.499003979802827,1.3956534016820163,6494459
Rubavu,Bungalow,216,4,2,2,2003,1,1,4.364786428464686,0.7188236624208446,2394132
Rwamagana,Bungalow,124,1,3,3,1985,1,1,5.119159465794556,0.9724948047537856,5438166
Huye,Villa,98,2,1,3,1982,1,1,3.5310575491304537,3.9496098705653706,6052536
Rusizi,Villa,145,1,2,3,1983,0,1,9.745702243494861,1.5801720347694364,2347013
Rubavu,Apartment,254,3,3,1,1992,0,0,4.122011765963331,1.0113068700705732,6373806
Kigali,Villa,50,4,3,2,2009,0,1,4.017787757908446,2.6152846168235375,3988652
