Location,Property_Type,Size_sqm,Number_of_Bedrooms,Number_of_Bathrooms,Number_of_Floors,Year_Built,Parking_Space,Furnished,Proximity_to_City_Center_km,Proximity_to_Schools_km,Security_Features,Price_RWF
Kimironko,Bungalow,110,1,3,2,2005,1,1,2.443141502,0.730319547,0,3253230
Nyarutarama,Apartment,164,1,1,2,1981,1,1,8.990315955,1.880404784,1,4098872
Kibagabaga,Bungalow,254,5,3,1,2014,0,1,3.938932014,1.633800117,1,5183923
Nyamirambo,Apartment,160,4,1,2,1990,1,1,7.688757454,2.460425544,1,2183477
Kimironko,Villa,117,5,1,2,1985,1,0,3.419127017,2.421226789,1,4864493
Kicukiro,Apartment,186,4,3,2,2010,0,0,3.600833799,2.615582602,1,6815974
Kibagabaga,House,50,1,1,2,2023,1,1,2.863656118,1.98029074,1,4049510
Nyarutarama,House,169,1,3,3,1980,0,0,4.825127774,0.985841538,0,4477009
Remera,House,69,1,1,3,1988,1,0,5.893500795,3.592916606,0,963157
Nyarutarama,House,190,2,1,1,2004,0,0,9.615305544,1.032679981,0,4071910
Kanombe,House,147,3,3,3,2009,1,0,5.209836537,0.552135359,0,4971109
Nyamirambo,House,102,2,1,1,2007,0,1,1.621508429,4.756798318,0,4042069
Gacuriro,Villa,257,3,1,1,1980,1,0,5.71151395,2.925322126,0,8907040
Kanombe,Villa,177,1,1,1,2021,0,1,5.109905712,2.396185224,0,4730845
Remera,Bungalow,144,2,1,2,2001,1,0,6.166014488,0.95436921,1,4318384
Kanombe,Villa,151,2,3,3,2015,1,1,2.330344222,1.161004229,1,2368258
Nyarutarama,House,210,1,2,1,2020,0,1,0.950463821,4.138185029,0,3241063
Kicukiro,Apartment,159,2,2,3,2008,0,1,5.760349726,2.491762648,1,6568167
Remera,Villa,239,2,2,2,1987,1,0,4.33102557,1.400766201,0,4409657
Remera,Bungalow,151,3,1,3,2019,1,0,4.930330227,0.771589984,1,-1642723
Kanombe,Apartment,205,1,1,1,2022,0,1,4.355266656,2.857545311,0,4310437
Kacyiru,Bungalow,105,1,2,3,1991,1,0,7.390522361,1.629503266,1,3358508
Nyarutarama,Apartment,50,3,2,2,2007,0,0,5.510281727,2.155413078,1,2540232
Kicukiro,Apartment,50,4,3,1,2007,0,1,0,1.732711354,1,1213984
Nyamirambo,Bungalow,153,5,2,1,2004,0,0,7.591384663,3.569296236,1,4484169
Kacyiru,Bungalow,89,2,1,1,1986,1,0,8.257927909,1.335967588,1,1541891
Kanombe,Bungalow,116,2,2,3,2000,1,1,4.804557089,0,1,3842288
Kacyiru,Bungalow,136,4,1,2,2015,0,0,4.974838953,2.282893878,1,1356536
Gacuriro,House,183,2,3,1,1989,1,1,7.604545392,2.66216052,1,2069959
Kibagabaga,Bungalow,186,4,1,2,2014,0,0,0.174373454,1.189369578,1,7323752
Kicukiro,Villa,156,1,1,1,2020,0,1,4.997378336,0.727853541,1,4800965
Remera,Bungalow,196,4,2,2,2005,1,0,6.593575868,2.585657879,1,3710936
Kicukiro,Bungalow,149,1,2,1,2004,1,1,4.419078257,3.111608483,1,713367
Remera,Apartment,279,2,2,1,2007,0,0,1.401200625,4.140698613,1,4925370
Kibagabaga,Apartment,113,5,1,2,1996,0,1,6.453157839,0.779003746,1,4162374
Nyarutarama,Villa,131,2,3,3,1984,1,0,6.206782767,1.806431602,0,1606833
Kibagabaga,Villa,118,4,1,3,2000,1,1,7.800659135,1.975497888,0,2878595
Remera,House,191,3,2,2,2013,0,1,5.758098882,3.334267757,1,3276660
Kicukiro,Villa,110,1,3,3,1995,1,0,1.926668221,1.00163124,1,5843430
Kibagabaga,Bungalow,50,3,3,2,2017,1,0,5.181526324,1.323942227,0,4540969
Kicukiro,Bungalow,93,3,3,3,1989,0,1,6.617561224,3.364459405,1,4800528
Kacyiru,Apartment,330,3,3,1,1997,0,1,7.940863139,2.616816049,1,4712979
Kicukiro,Bungalow,201,2,2,2,1996,0,1,7.539377137,1.668503203,1,-467769
Kacyiru,Apartment,216,1,3,3,1996,0,1,9.213946742,1.207234276,1,3277327
Nyarutarama,Villa,201,1,1,1,2005,0,1,6.627278517,4.502330906,0,4893900
Gacuriro,Bungalow,109,5,1,1,1997,1,1,4.83052717,0,0,2097434
Kimironko,Villa,99,1,2,3,2014,0,1,7.157792788,2.508108345,1,4979191
Kibagabaga,House,110,2,2,3,2001,1,1,3.615240387,0.65955924,0,4047784
Kacyiru,House,133,5,2,1,2007,1,1,4.697327178,1.189629729,1,7578711
Gacuriro,Bungalow,98,5,2,2,2002,1,0,3.123420661,0.682185124,1,3088646
Kacyiru,House,194,5,1,3,2019,0,1,6.773300646,2.824386888,1,5372812
Kicukiro,Villa,128,4,2,3,2019,0,1,3.13827724,0.15312325,1,1359853
Kibagabaga,Bungalow,95,2,1,3,2019,1,0,3.970164846,3.275507338,0,-1729074
Remera,Villa,60,1,2,2,1987,1,1,3.956751071,2.13516028,1,5086232
Nyarutarama,House,136,4,1,3,2000,1,0,4.002558589,3.038044829,0,2715870
Kanombe,Apartment,126,3,3,3,2000,0,1,2.500823858,2.835941077,1,8429624
Nyarutarama,Villa,246,3,3,3,2013,1,1,6.420672229,0,1,6443324
Kibagabaga,Bungalow,189,1,1,3,1989,1,1,5.993037333,3.256990954,0,4645336
Kicukiro,Apartment,122,3,2,2,1992,0,1,1.943498153,1.121700186,1,3766633
Nyamirambo,Apartment,123,3,2,1,2005,1,0,5.934845766,1.535122316,1,3601977
Kimironko,Apartment,219,1,3,2,2003,0,0,8.071570841,1.806286499,1,1620736
Kimironko,Bungalow,73,5,2,3,2001,0,1,3.352360518,2.922370985,1,6941608
Gacuriro,Apartment,163,1,3,2,2011,1,0,7.863155056,0.213083071,1,4273818
Kimironko,Apartment,137,5,1,3,1996,0,0,6.868918631,1.903356887,1,5401061
Gacuriro,Bungalow,181,5,2,1,1983,1,0,6.58888184,2.424078787,1,6321524
Kicukiro,Bungalow,59,1,2,1,2019,0,0,7.930411734,0.715968809,1,4476186
Kacyiru,Bungalow,163,1,1,3,1997,0,0,8.731055288,2.363299528,1,3425766
Nyarutarama,Bungalow,110,1,2,1,2005,1,1,7.271928322,1.344736871,1,-768396
Nyamirambo,House,118,5,1,3,2016,0,1,5.585914115,3.468740038,1,4438260
Remera,Apartment,171,3,2,2,1995,0,0,2.478474115,1.480140013,1,6068447
Kibagabaga,House,63,2,3,1,1998,0,1,4.303407928,3.146335969,1,-217070
Gacuriro,Apartment,111,2,1,1,1989,0,1,2.79707933,3.002092271,1,7527
Kibagabaga,House,144,1,2,3,2008,0,1,5.053444866,2.091053331,1,1120632
Kibagabaga,House,145,3,1,2,2003,0,1,6.12967422,1.540558108,1,4491772
Remera,House,157,4,1,1,1999,1,1,6.37163422,3.094813373,0,1825362
Nyamirambo,House,213,3,1,2,1988,1,0,2.621817943,2.95510775,1,2567872
Nyamirambo,Villa,161,4,1,3,2021,1,1,7.805142311,2.046163643,1,7138171
Nyamirambo,Apartment,155,2,3,2,1984,0,0,6.115663364,2.251483456,1,6530593
Kacyiru,Apartment,217,2,3,3,1984,1,1,3.905729242,2.626380108,0,6133436
Nyarutarama,House,115,1,1,1,2023,0,1,4.243105724,1.014521296,0,1911566
Kimironko,Bungalow,120,4,1,2,2017,0,0,4.438668642,0.927028946,1,3834764
Nyarutarama,House,245,3,3,3,2018,0,1,6.696525913,1.197952428,0,6849504
Nyamirambo,Apartment,84,3,3,1,2017,0,0,3.835043414,0,1,2154980
Kicukiro,Bungalow,70,2,3,1,1989,1,1,3.851232516,0.456062693,1,4506511
Nyamirambo,Bungalow,105,4,1,3,1992,1,1,4.258395436,2.896896058,1,5515931
Gacuriro,Apartment,156,5,1,1,1996,0,1,6.092181287,2.443370256,1,4362796
Kanombe,Bungalow,160,4,2,3,1981,1,0,5.833778846,1.850617251,1,935424
Kacyiru,House,177,2,2,3,1982,0,1,5.022128298,1.525837076,0,2442916
Nyamirambo,Villa,214,4,1,2,2007,1,1,1.022328028,2.639260701,1,3786022
Gacuriro,Villa,126,2,1,1,1988,0,1,7.536662698,0.052373395,1,3114131
Kicukiro,Villa,53,4,3,3,2014,0,1,2.516814575,1.489377861,1,3498828
Kimironko,Villa,50,4,3,2,1995,1,1,5.784018411,1.79576855,1,2392974
Nyamirambo,Apartment,131,5,3,1,2014,1,1,0.094878192,1.818184006,1,5179399
Nyamirambo,House,186,3,1,2,2002,0,1,3.583049281,2.297665659,1,505241
Kibagabaga,Bungalow,240,5,2,3,1991,1,1,4.815957015,0.203596825,1,5289565
Kimironko,Apartment,105,1,3,1,2003,1,1,5.109127727,2.044924148,0,3078962
Gacuriro,Bungalow,71,1,2,3,2003,0,1,8.619187579,3.017087665,1,2478037
Kimironko,Bungalow,80,4,3,2,2006,0,0,1.935567307,2.348792438,1,609142
Kibagabaga,Apartment,216,3,2,1,2015,1,1,2.380059214,1.639197863,1,3709217
Kanombe,Bungalow,50,4,1,2,2005,1,0,3.677278107,2.139510656,1,375519
Remera,Villa,266,4,2,1,2008,1,1,8.757803075,1.717479333,1,8046529
Remera,Apartment,134,2,1,3,2021,0,0,3.78313823,1.867681927,1,2787990
Kicukiro,Bungalow,141,1,1,1,1987,1,0,5.034607083,2.366945006,1,4622649
Gacuriro,Apartment,116,1,3,3,1988,1,1,4.629826449,2.916806642,1,5569996
Kicukiro,House,85,4,1,2,2021,1,0,6.321294398,2.050360346,1,4480195
Kanombe,Bungalow,127,4,2,1,2018,0,1,7.202887148,2.416574871,0,3807344
Nyamirambo,House,132,5,3,3,1999,1,0,5.864737125,4.492911225,0,2613805
Kanombe,Villa,124,5,3,1,2015,1,1,4.585358307,4.283698571,1,5419716
Gacuriro,House,148,1,2,3,2020,1,0,5.133081066,1.844709639,1,2466239
Gacuriro,House,77,5,2,1,2002,0,1,6.244336643,1.988904626,0,2951350
Kicukiro,Villa,163,4,3,3,2004,1,1,4.296405001,1.994103754,1,4691436
Gacuriro,House,131,4,1,1,1988,0,0,6.166588328,2.470803432,1,5367349
Nyarutarama,House,145,5,1,1,1985,1,1,0.596816943,1.287518256,0,6901995
Kibagabaga,Bungalow,111,4,1,2,2006,1,1,4.715692103,2.776131236,1,4863353
Nyamirambo,House,51,1,2,3,2008,1,1,5.551147615,2.492227188,1,3710504
Kanombe,Bungalow,64,3,1,3,2007,1,1,4.473457384,3.747511932,0,1499016
Kibagabaga,Apartment,112,1,3,3,2008,1,0,8.165311689,1.886855706,1,4821260
Gacuriro,Villa,166,2,1,2,2001,0,0,6.454484319,1.525087796,1,3328325
Kanombe,Villa,201,4,3,2,1998,1,1,3.132305188,2.715644188,1,6941131
Kanombe,Apartment,61,3,1,1,1993,1,1,6.789897265,3.68470635,1,4163170
Kibagabaga,Apartment,168,4,1,1,1994,0,1,6.570345437,2.107546625,1,2522048
Nyarutarama,Apartment,50,2,1,2,1983,1,0,7.483546831,1.317211791,1,-915247
Gacuriro,House,106,2,1,3,1986,1,1,7.8537374,2.909086444,0,2725516
Kibagabaga,Villa,155,4,3,3,2000,0,1,0.713800587,0.833236707,1,5677484
Gacuriro,Apartment,273,1,1,2,2012,1,1,3.461910386,3.276830429,1,3553453
Kacyiru,House,122,5,3,3,1992,0,0,4.933184522,2.754416944,0,11594696
Kibagabaga,Villa,118,2,2,3,1982,1,1,7.753077834,4.130069897,1,2588585
Remera,Villa,113,4,1,2,1993,1,1,4.30934526,2.043908453,1,4749680
Kimironko,Villa,132,1,1,1,2009,0,0,4.543619597,1.240397754,1,3652913
Nyarutarama,Villa,202,3,1,3,2019,1,1,4.841579096,1.92220826,1,9521699
Gacuriro,House,185,1,1,1,1981,1,1,8.504594581,1.639563867,0,3875060
Kicukiro,Bungalow,194,3,1,2,1985,1,1,2.939168599,1.445508186,1,7835783
Kicukiro,Villa,150,5,2,1,2002,1,0,4.063551188,2.32860446,0,4507550
Remera,Villa,248,1,2,2,1994,1,0,5.00338447,1.469694397,1,3369366
Gacuriro,Villa,165,1,3,2,2005,1,0,4.113918564,2.688552829,0,850636
Gacuriro,Villa,164,4,1,3,2008,0,0,5.692952747,2.961545998,1,2548234
Kanombe,Villa,210,3,2,2,1993,1,1,8.890930939,3.087735008,1,4886072
Nyarutarama,House,142,1,1,2,1996,0,1,9.836704379,1.316345086,0,558909
Nyamirambo,Villa,157,4,2,2,1996,1,0,5.412859512,3.128554321,1,3690326
Kicukiro,Apartment,156,3,3,2,2012,0,0,5.710020234,1.242323167,0,3616111
Kanombe,Villa,123,4,2,1,2001,1,0,4.922185459,2.084068089,1,6242641
Kimironko,Bungalow,111,5,3,3,1986,0,1,3.8337015,0.543624833,1,7394301
Kibagabaga,House,145,5,2,3,2013,1,0,6.782348011,2.038526187,1,3869983
Kacyiru,Villa,109,3,1,2,2016,1,0,3.694051223,0.367060919,1,4080699
Kacyiru,Bungalow,119,2,1,1,2004,0,1,9.089959035,3.093602222,1,4122438
Remera,Bungalow,153,4,2,2,2019,1,1,7.531963201,1.409078526,1,8494427
Kanombe,Villa,137,4,2,2,2002,0,0,3.705180989,3.853008293,1,7666573
Remera,House,115,1,2,2,2014,1,0,7.725779872,1.917198212,0,5245090
Kicukiro,House,72,1,2,2,2002,0,1,6.95640733,3.432442324,1,-935005
Kacyiru,House,75,4,3,3,1998,1,1,5.403664266,1.743808794,0,4373527
Kimironko,Bungalow,193,4,1,1,2022,1,1,3.824076719,2.434273378,0,2260536
Kimironko,Bungalow,220,4,3,1,1989,1,1,7.278397303,1.026806711,0,5397900
Nyamirambo,Villa,148,4,3,3,2002,0,0,5.361149472,2.088769275,0,2014563
Nyamirambo,Bungalow,235,2,1,3,2020,0,0,4.714720223,1.696702402,1,5391905
Kanombe,Apartment,50,4,1,3,1990,0,1,4.771594196,1.379856239,1,6271376
Kimironko,House,103,5,2,2,2021,1,0,4.683744773,2.108380794,1,2797125
Kibagabaga,Bungalow,91,3,2,3,2015,1,0,4.272347731,2.288580849,1,5023630
Kimironko,Bungalow,116,1,3,1,1996,0,0,4.862136209,2.615725671,1,6020540
Kicukiro,Villa,146,1,1,3,2018,1,1,4.064003841,1.838927207,1,3681675
Gacuriro,Bungalow,171,2,1,3,2019,0,0,5.424707055,2.831411414,1,3848523
Kibagabaga,Apartment,155,3,3,3,2015,1,0,4.154583543,1.272163687,1,5754105
Kanombe,Bungalow,122,4,3,2,2021,1,0,7.43573636,2.009400012,0,3033287
Kibagabaga,Villa,73,2,1,3,2010,0,1,8.713828472,0.920183403,1,1748336
Kanombe,House,130,1,1,3,1994,0,0,3.131038737,1.970891266,1,4751850
Remera,Bungalow,200,3,3,2,1982,1,1,6.027080374,1.668962359,1,3967887
Nyamirambo,Apartment,53,4,2,2,1996,1,0,2.265492161,1.061534905,1,3972253
Kimironko,Apartment,204,3,3,2,2003,1,0,5.180945788,0.979376021,0,183731
Nyamirambo,House,170,3,3,1,1987,0,1,2.897486094,2.517884185,1,1256438
Gacuriro,Villa,131,5,3,2,1984,1,1,4.869410994,1.953454954,1,8407926
Nyarutarama,Bungalow,139,5,2,2,1988,0,1,3.018794013,3.317442956,1,5552682
Remera,House,146,2,2,2,2008,1,0,3.963691597,1.921259288,0,2644090
Kibagabaga,Villa,161,4,1,3,2008,1,1,5.984585157,1.084319473,0,5061925
Kicukiro,Apartment,96,4,1,3,2004,1,1,4.299106029,1.664768439,1,3746003
Nyamirambo,Villa,83,4,1,3,1981,1,0,1.726438731,1.400391205,1,7319667
Kibagabaga,Apartment,179,1,3,1,2022,0,0,2.878531788,1.896904848,1,3964721
Kicukiro,Villa,50,3,1,2,2016,1,0,3.709884721,2.211332895,1,4699251
Gacuriro,Villa,212,5,2,1,1980,1,0,5.012968297,3.512103419,1,4455744
Kimironko,House,156,3,2,2,2017,1,0,5.562811737,0.211881361,0,7733883
Kacyiru,Villa,146,2,2,3,2023,0,0,3.32255655,3.198348123,1,5412696
Remera,Villa,133,2,3,2,2010,1,0,3.47637389,2.820129644,0,1367109
Gacuriro,Apartment,50,5,1,1,1996,0,0,1.54669314,1.987446083,1,3545298
Nyamirambo,House,156,4,1,2,2022,0,1,4.495885225,1.523236234,1,3211240
Kacyiru,Bungalow,179,1,1,2,1988,1,1,4.306799435,2.046810836,1,2905568
Kanombe,House,164,5,1,1,1981,1,0,7.299928575,2.693817158,1,4255807
Kimironko,Apartment,220,3,3,1,2020,1,1,8.908289031,1.157972515,1,2730231
Nyarutarama,House,88,4,3,3,1983,0,0,5.212305589,1.676644187,1,3801261
Kicukiro,Villa,104,3,3,3,1990,1,1,5.440006931,2.816319734,0,4523671
Kacyiru,House,104,4,3,1,1992,1,1,5.139279378,0.625832892,1,3226350
Nyamirambo,House,111,3,1,3,2020,1,1,5.901818111,2.904405367,1,3414605
Remera,House,101,2,2,3,2003,0,0,7.928732423,0.367631434,1,3835308
Kibagabaga,Bungalow,114,4,2,1,2016,1,1,6.324291861,2.526816242,1,5765684
Kanombe,House,134,1,3,2,2014,1,1,1.733707114,2.186922137,0,3930363
Kibagabaga,Villa,107,3,1,2,1995,0,0,4.746182803,2.216646942,0,1096855
Remera,Bungalow,169,1,3,2,1986,0,1,4.618618246,1.4091245,1,3706344
Kacyiru,Apartment,87,2,2,3,2002,1,1,6.753687137,2.538521779,1,2471117
Kicukiro,Apartment,144,4,1,3,2000,1,1,5.866233094,2.259103719,1,3380999
Kibagabaga,Bungalow,86,1,3,2,2010,1,0,4.718381986,0.515678945,0,5192008
Kibagabaga,Apartment,190,4,1,1,1983,1,1,6.427533576,0.985608923,1,1549677
Gacuriro,Bungalow,50,4,1,3,2018,1,1,5.076055616,1.933498774,1,5200684
Nyamirambo,Bungalow,150,2,1,3,1990,0,1,3.841154417,1.519673626,1,-417256
Gacuriro,Bungalow,140,1,2,2,1997,1,0,6.570261702,0.897235223,0,855540
Nyamirambo,Apartment,135,1,3,2,1999,0,0,6.162405041,2.32833255,1,6407974
Kibagabaga,Apartment,89,5,2,1,1997,1,1,3.83167028,2.303916087,0,3814363
Nyarutarama,House,50,1,1,1,2008,1,1,5.930703255,0.650130753,0,7316054
Kacyiru,Apartment,99,4,1,1,1989,1,1,7.956220705,2.105412511,1,4838328
Kimironko,Apartment,185,2,2,3,2020,0,0,4.552030577,3.096711586,1,6473175
Kimironko,Villa,137,3,2,1,2001,0,1,6.930827755,1.6442318,1,2323991
Nyamirambo,Bungalow,149,1,1,3,1995,0,1,6.22187838,1.410292371,1,4696540
Gacuriro,Bungalow,129,3,2,1,2000,1,1,6.004049653,1.867980736,1,3112746
Nyamirambo,Bungalow,174,1,2,2,2004,0,0,3.840397166,2.408788497,1,994890
Kanombe,House,189,4,3,1,1986,1,0,7.043319615,3.12719752,0,3045043
Kacyiru,Bungalow,111,4,1,3,2008,0,0,5.977616868,2.328728947,1,3837845
Kanombe,Apartment,108,5,1,1,1981,0,0,3.426074177,2.020984637,1,2967814
Nyarutarama,Villa,110,3,2,1,1990,1,0,2.812766041,2.933083658,1,2640519
Kicukiro,Villa,194,2,1,1,2006,0,0,3.387287656,0.874447051,1,2544340
Kimironko,Bungalow,213,3,3,2,2008,1,1,3.162045265,0,1,4944901
Kibagabaga,Bungalow,192,1,2,1,2000,0,0,2.954691713,1.74322937,0,2762091
Nyarutarama,Bungalow,219,2,2,2,2005,0,0,6.494766484,1.480261665,1,1431093
Kibagabaga,House,144,4,3,2,2009,0,1,7.107874023,2.231165374,1,3722982
Nyarutarama,Apartment,50,1,1,2,2008,0,1,6.927160974,1.508732905,1,3066478
Kanombe,Villa,223,5,3,2,1995,1,0,5.053818551,2.257526167,1,8564323
Kimironko,Apartment,148,5,1,3,1982,0,0,0.859564783,1.10667223,0,4104881
Remera,Bungalow,164,3,2,1,1999,1,0,4.167245768,3.682574708,1,9314563
Kacyiru,Apartment,165,2,1,1,1984,1,0,6.007042765,1.072165139,0,1954847
Gacuriro,Villa,191,2,2,3,2004,1,0,4.779181724,3.255008425,1,1598638
Kimironko,House,76,1,3,3,2020,1,1,6.310930134,0.933969129,1,3415957
Kanombe,Bungalow,83,5,2,3,2021,0,0,7.428004886,3.283593487,1,5900979
Kimironko,Apartment,128,3,1,3,2020,1,0,5.621242272,2.029810166,0,3305209
Gacuriro,Bungalow,137,2,2,2,2003,1,1,6.063480399,0.053552607,1,4213262
Kicukiro,Apartment,152,4,3,3,2004,1,0,5.092105761,2.492531275,1,4687887
Remera,House,87,5,2,3,2008,0,0,4.283773062,3.082037107,1,4313817
Nyamirambo,Apartment,186,4,1,1,1998,0,1,6.193422224,3.691908826,1,4480733
Nyamirambo,House,167,1,2,2,1987,1,0,4.717029044,1.720758917,0,2582980
Kacyiru,House,194,5,3,1,2005,1,0,7.691710806,3.341932858,1,8585152
Kicukiro,Bungalow,121,3,2,2,2004,0,0,6.747905774,2.638599484,0,3975594
Kimironko,Villa,173,1,1,3,2000,0,0,5.175734058,1.104383393,1,1973459
Kimironko,Villa,138,4,2,1,2001,1,0,0.683515836,3.175738844,1,851177
Kicukiro,Apartment,221,2,3,3,2013,1,0,9.671900519,3.53646773,0,3135448
Nyamirambo,Apartment,86,5,1,2,2008,1,1,4.408502121,2.988184,1,7282404
Nyarutarama,House,178,5,1,3,2023,1,0,2.421318172,2.208515008,1,6479652
Kicukiro,Apartment,97,2,3,2,2017,1,0,3.769344905,1.075723894,1,5183727
Kacyiru,House,107,1,1,2,2009,0,1,6.577662346,2.700727228,1,3585106
Kibagabaga,Bungalow,50,5,3,2,1991,1,1,2.22027359,2.306891564,1,5323252
Kanombe,Villa,181,3,2,2,2006,1,0,5.218478812,2.317217592,0,7080322
Gacuriro,Bungalow,167,4,3,1,2000,1,0,5.14308651,2.579987267,1,6716646
Nyamirambo,Apartment,110,2,2,3,2022,1,1,9.009301286,1.723298879,0,2322798
Kicukiro,Villa,194,1,3,2,2007,0,1,6.749549689,2.832574598,1,4586580
Kanombe,Apartment,235,3,3,3,2013,0,1,6.746476719,4.220588704,1,5937083
Remera,Villa,146,5,1,1,1995,1,0,3.502000685,0.814699467,1,2044663
Remera,Villa,208,5,2,3,2001,1,0,2.698064374,2.614070506,0,5408669
Kibagabaga,House,151,5,1,1,1982,0,1,3.208607555,1.488851159,0,4344387
Nyarutarama,House,239,2,1,3,1999,0,0,6.735899579,3.885550295,1,6177871
Gacuriro,Villa,156,4,1,3,1996,1,1,7.119704274,2.50929485,1,5964551
Kacyiru,Apartment,139,5,2,1,1993,1,0,0.313402182,0.636416252,1,1985652
Kibagabaga,House,68,5,1,2,2004,1,1,4.302003689,1.719565524,1,6734229
Remera,Villa,198,4,1,3,2014,0,0,3.119793228,1.507462034,1,1431990
Remera,House,50,2,2,3,2015,1,1,6.788847684,2.362007217,1,4541523
Kimironko,Apartment,243,5,2,2,2020,1,1,5.312484465,2.596008385,0,6647957
Gacuriro,Villa,71,2,2,1,2002,0,1,4.131095823,2.671970559,0,1282473
Nyarutarama,House,237,2,2,2,2017,1,1,6.483408459,2.533815178,1,2323318
Kacyiru,Apartment,206,1,1,2,1999,1,1,7.645329626,2.907899394,1,957463
Kimironko,Apartment,143,3,2,3,1999,0,1,4.204055817,3.536637048,1,4020362
Kibagabaga,Villa,126,2,3,3,2001,1,0,3.044043826,3.704284314,1,2954648
Kimironko,Apartment,209,3,2,3,1998,1,0,7.973435135,2.652425915,1,1692298
Kicukiro,Bungalow,195,5,2,2,1994,1,0,4.691410327,0.918061042,1,6913208
Kimironko,Villa,50,3,2,1,2018,1,1,1.414488045,2.671886025,1,4586564
Kacyiru,Apartment,119,4,3,1,2016,1,0,5.220136675,2.104952521,1,1244478
Nyarutarama,House,191,1,1,3,2002,0,1,3.412245178,2.37764511,1,2589128
Nyarutarama,House,91,2,3,1,1989,1,1,3.817778447,2.017479227,1,2530916
Nyamirambo,House,139,5,1,2,1990,1,0,6.318655131,2.606682985,0,1767018
Nyarutarama,Apartment,126,2,3,2,1997,1,1,5.431308948,1.41074629,1,7991438
Remera,Bungalow,182,1,3,3,1989,0,1,4.37490386,1.175051523,1,-150660
Kanombe,House,142,2,2,3,1983,0,0,4.370361044,0.404147871,0,-707978
Remera,Bungalow,174,4,3,2,2014,1,1,1.246210672,5.026766478,1,4746826
Remera,Villa,112,3,1,2,2002,1,1,0.511915709,3.117506484,1,3241719
Kicukiro,Bungalow,178,3,3,2,1983,1,1,8.33984335,3.955958909,1,4763781
Kimironko,Villa,109,2,2,3,2004,1,1,6.647722119,1.617139725,1,4936300
Kacyiru,House,179,4,2,3,2014,1,0,3.480715908,3.005007099,1,5965652
Kanombe,Bungalow,200,3,1,1,1981,1,0,2.147594197,3.186399649,0,3839990
Kibagabaga,Apartment,138,3,2,3,1998,1,1,2.266642037,2.760859498,1,7539357
Nyamirambo,House,156,4,2,1,1999,1,1,8.181240378,2.40370361,1,7009842
